	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	361	313	410		156	102	104	
영업이익	80	57	49		20	9	13	
영업이익(발표기준)	80	57	49		20	9	13	
세전계속사업이익	75	6	51		20	11	12	
당기순이익	62	0	42		16	9	9	
당기순이익(지배)	62	0	42		16	9	9	
당기순이익(비지배)								
자산총계	285	422	453		450	487	453	
부채총계	95	94	50		66	94	50	
자본총계	189	328	402		384	393	402	
자본총계(지배)	189	328	402		384	393	402	
자본총계(비지배)								
자본금	10	32	32		32	32	32	
영업활동현금흐름	-3	20	-6		30	38	7	
투자활동현금흐름	-3	-2	-77		-13	-14	-39	
재무활동현금흐름	51	83	-7		-6	0	0	
CAPEX	0	1	57		13	19	14	
FCF	-3	19	-62		18	19	-8	
이자발생부채	69	44	1		3	3	1	
영업이익률	22.13	18.20	12.03		12.72	8.51	12.80	
순이익률	17.25	0.13	10.26		10.24	8.96	9.04	
ROE(%)	39.52	0.16	11.52		12.58	11.79	11.51	
ROA(%)	27.88	0.12	9.62		9.97	9.07	9.61	
부채비율	50.27	28.60	12.54		17.23	23.89	12.54	
자본유보율	2,069.76	1,004.99	1,201.45		1,143.04	1,171.94	1,201.45	
EPS(원)	202	1	132		50	29	30	
PER(배)		1,162.87	14.85		16.12	16.76	14.88	
BPS(원)	615	1,255	1,387		1,323	1,355	1,387	
PBR(배)		1.24	1.42		1.64	1.59	1.42	
현금DPS(원)	0	20	25		0	0	25	
현금배당수익률	0.00	1.29	1.27					
현금배당성향(%)	0.00	1,262.70	17.23		0.00	0.00	77.25	
발행주식수(보통주)	30,812,000	31,812,000	31,812,000		31,812,000	31,812,000	31,812,000	
