	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	314	224	149		37	43	35	
영업이익	66	51	7		1	3	0	
영업이익(발표기준)	66	51	7		1	3	0	
세전계속사업이익	66	56	21		3	5	2	
당기순이익	55	48	20		2	6	1	
당기순이익(지배)	55	48	20		2	6	1	
당기순이익(비지배)								
자산총계	352	385	494		489	494	493	
부채총계	32	24	104		105	104	109	
자본총계	320	361	390		385	390	384	
자본총계(지배)	320	361	390		385	390	384	
자본총계(비지배)								
자본금	18	18	18		18	18	18	
영업활동현금흐름	76	9	39		19	3	11	
투자활동현금흐름	-16	-67	-96		-20	-10	-23	
재무활동현금흐름	110	-1	88					
CAPEX	13	7	4		1	2	0	
FCF	63	2	35		18	1	11	
이자발생부채	5	7	81		79	81	83	
영업이익률	20.89	22.59	4.52		1.59	7.32	0.76	
순이익률	17.66	21.52	13.25		6.13	14.50	4.01	
ROE(%)	24.38	14.15	5.25		3.88	5.25	4.89	
ROA(%)	19.99	13.07	4.49		3.29	4.49	4.21	
부채비율	9.91	6.75	26.65		27.28	26.65	28.40	
자본유보율	1,679.20	1,926.56	2,070.16		2,033.82	2,070.16	2,077.60	
EPS(원)	413	268	110		13	35	8	
PER(배)	8.83	8.91	20.77		31.92	20.77	17.51	
BPS(원)	1,778	2,004	2,166		2,136	2,166	2,154	
PBR(배)	2.05	1.19	1.05		1.20	1.05	0.83	
현금DPS(원)	20		40		0	40		
현금배당수익률	0.55		1.76					
현금배당성향(%)	6.49	11.21	36.52		0.00	114.26		
발행주식수(보통주)	18,000,000	18,000,000	18,000,000		18,000,000	18,000,000	18,000,000	
