	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	113	126	136		31	29	65	
영업이익	26	11	6		-5	3	19	
영업이익(발표기준)	26	11	6		-5	3	19	
세전계속사업이익	28	12	9		-5	4	19	
당기순이익	25	12	11		-4	3	18	
당기순이익(지배)	25	12	11		-4	3	18	
당기순이익(비지배)								
자산총계	153	275	282		246	250	282	
부채총계	61	43	34		21	22	34	
자본총계	91	232	247		225	229	247	
자본총계(지배)	91	232	247		225	229	247	
자본총계(비지배)								
자본금	7	28	29		29	29	29	
영업활동현금흐름	12	1	25		-1	-3	19	
투자활동현금흐름	-8	-102	-2		0	-1	0	
재무활동현금흐름	2	110	-11		-1	0	0	
CAPEX	1	2	1		0	1	0	
FCF	12	-1	23		-2	-4	19	
이자발생부채	30	12	3		3	3	3	
영업이익률	23.25	8.82	4.16		-16.76	10.73	28.84	
순이익률	22.21	9.26	8.22		-11.86	9.50	27.68	
ROE(%)	43.00	7.19	4.69			12.91	4.69	
ROA(%)	19.58	5.43	4.03			11.72	4.03	
부채비율	67.27	18.69	13.95		9.34	9.49	13.95	
자본유보율	1,167.84	700.96	736.14		664.18	673.81	736.14	
EPS(원)	661	241	194		-64	48	312	
PER(배)		37.31	31.45		27.52	13.27	31.45	
BPS(원)	2,173	4,096	4,265		3,889	3,945	4,265	
PBR(배)	0.00	2.20	1.43		2.40	1.61	1.43	
현금DPS(원)	0							
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00	0.00		
발행주식수(보통주)	4,199,967	5,662,567	5,794,561		5,794,561	5,794,561	5,794,561	
