	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,480	1,547	1,592		405	408	386	
영업이익	297	273	262		66	64	41	
영업이익(발표기준)	297	273	262		66	64	41	
세전계속사업이익	365	293	282		66	70	47	
당기순이익	272	215	186		28	52	30	
당기순이익(지배)	272	215	187		28	52	31	
당기순이익(비지배)								
자산총계	2,748	2,877	3,049		2,950	2,996	3,049	
부채총계	318	281	304		287	283	304	
자본총계	2,431	2,596	2,745		2,663	2,713	2,745	
자본총계(지배)	2,431	2,596	2,738		2,656	2,706	2,738	
자본총계(비지배)								
자본금	97	97	97		97	97	97	
영업활동현금흐름	235	175	247		-29	99	90	
투자활동현금흐름	-375	-143	-401		35	-226	-186	
재무활동현금흐름	-38	-46	-52		-49	-1	-1	
CAPEX	191	41	28		9	8	3	
FCF	44	134	220		-38	92	86	
이자발생부채	0	0	16		18	17	16	
영업이익률	20.04	17.68	16.44		16.36	15.69	10.62	
순이익률	18.37	13.91	11.69		6.86	12.73	7.82	
ROE(%)	11.73	8.56						
ROA(%)	10.49	7.65						
부채비율	13.06	10.83	11.09		10.76	10.41	11.09	
자본유보율	2,482.89	2,691.73	2,837.25		2,752.06	2,805.69	2,837.25	
EPS(원)	1,461	1,157	1,005		150	280	165	
PER(배)	15.23	16.55	15.37				15.37	
BPS(원)	15,922	17,003	17,933		17,394	17,725	17,933	
PBR(배)	1.40	1.13	0.86		1.01	0.89	0.86	
현금DPS(원)	300	300	300		0	0	300	
현금배당수익률	1.35	1.57	1.94					
현금배당성향(%)	16.86	21.29	24.50		0.00	0.00	149.61	
발행주식수(보통주)	18,600,070	18,600,070	18,600,070		18,600,070	18,600,070	18,600,070	
