	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	305	244	284		95	66	67	
영업이익	45	-24	11		12	1	2	
영업이익(발표기준)	45	-24	11		12	1	2	
세전계속사업이익	16	-42	0		9	0	-3	
당기순이익	5	-39	2		8	0	-2	
당기순이익(지배)	5	-39	2		8	0	-2	
당기순이익(비지배)								
자산총계	313	279	321		307	323	321	
부채총계	108	106	94		86	93	94	
자본총계	206	174	227		221	230	227	
자본총계(지배)	206	174	227		221	230	227	
자본총계(비지배)								
자본금	36	38	41		41	41	41	
영업활동현금흐름	-16	-39	19		43	18	12	
투자활동현금흐름	-40	-21	-33		-45	-24	0	
재무활동현금흐름	106		18		-1	7	-2	
CAPEX	7	3	4		1	1	2	
FCF	-23	-42	15		43	17	10	
이자발생부채	93	94	78		70	73	78	
영업이익률	14.85	-9.91	3.96		13.02	1.89	2.94	
순이익률	1.80	-15.90	0.54		8.78	0.20	-2.46	
ROE(%)	3.56	-20.42	0.76		-14.59	-12.01	0.61	
ROA(%)	2.50	-13.07	0.51		-9.97	-8.04	0.41	
부채비율	52.31	60.87	41.45		39.09	40.27	41.45	
자본유보율	467.75	361.43	460.56		440.92	463.52	460.56	
EPS(원)	15	-104	4		21	0	-4	
PER(배)	103.65	N/A	357.91		N/A	N/A	450.72	
BPS(원)	567	461	558		541	564	558	
PBR(배)	2.77	1.84	2.43		2.25	1.98	2.43	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	36,252,487	37,682,487	40,924,427		40,862,741	40,862,741	40,924,427	
