	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	4,007	3,478	3,248		840	720	962	
영업이익	208	94	116		39	6	54	
영업이익(발표기준)	208	94	116		39	6	54	
세전계속사업이익	283	313	183		111	18	25	
당기순이익	217	252	145		90	15	16	
당기순이익(지배)	217	252	145		90	15	16	
당기순이익(비지배)								
자산총계	2,846	3,030	2,955		3,290	3,169	2,955	
부채총계	1,368	1,343	1,164		1,475	1,337	1,164	
자본총계	1,478	1,687	1,791		1,816	1,833	1,791	
자본총계(지배)	1,478	1,687	1,791		1,816	1,833	1,791	
자본총계(비지배)								
자본금	552	552	552		552	552	552	
영업활동현금흐름	303	242	277		82	11	128	
투자활동현금흐름	-143	-82	-26		-7	-10	-7	
재무활동현금흐름	-129	-65	-109		-24	-17	-75	
CAPEX	35	199	30		6	10	8	
FCF	268	43	246		77	1	121	
이자발생부채	530	464	356		447	431	356	
영업이익률	5.18	2.71	3.56		4.67	0.85	5.62	
순이익률	5.43	7.25	4.46		10.78	2.08	1.65	
ROE(%)	16.08		8.33				8.33	
ROA(%)	7.66		4.84				4.84	
부채비율	92.58	79.60	65.01		81.21	72.93	65.01	
자본유보율	159.23	204.48	229.91		224.73	227.44	229.91	
EPS(원)	197	228	131		82	14	14	
PER(배)	5.03	12.40	24.65			12.00	24.65	
BPS(원)	1,338	1,527	1,621		1,643	1,659	1,621	
PBR(배)	0.74	1.85	1.99		2.15	1.95	1.99	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	110,179,090	110,179,090	110,179,090		110,179,090	110,179,090	110,179,090	
