	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	143	196	267	421	54	77	89	
영업이익	-5	3	7	37	0	2	2	
영업이익(발표기준)	-5	3	7		0	2	2	
세전계속사업이익	-11	4	23	40	0	0	21	
당기순이익	-23	2	23	30	-1	0	21	
당기순이익(지배)	-22	2	27	40	-1	0	26	
당기순이익(비지배)	0							
자산총계	227	187	420	470	196	408	420	
부채총계	62	21	210	230	29	185	210	
자본총계	165	166	210	240	167	223	210	
자본총계(지배)	165	166	206	240	167	221	206	
자본총계(비지배)								
자본금	79	79	85	80	79	85	85	
영업활동현금흐름	-1	-18	8	20	-2	-3	10	
투자활동현금흐름	-6	33	-96	0	0	-74	-21	
재무활동현금흐름	8	-28	188	0	-1	199	-11	
CAPEX	2	0	1	0	0	0	0	
FCF	-2	-18	7	20	-2	-3	10	
이자발생부채	28	0	126		2	145	126	
영업이익률	-3.47	1.36	2.63	8.79	-0.16	2.58	2.47	
순이익률	-15.86	0.77	8.50	7.13	-0.98	-0.31	24.12	
ROE(%)		0.90		17.95	-1.05			
ROA(%)		0.80		6.74	-0.91			
부채비율	37.66	12.88	100.17	95.83	17.09	83.16	100.17	
자본유보율	108.22	111.52	179.75		112.60	159.37	179.75	
EPS(원)	-142	10	166	236	-3	-2	151	
PER(배)	N/A	235.41	24.32	26.84	N/A			
BPS(원)	1,041	1,047	1,213	1,415	1,056	1,303	1,213	
PBR(배)	2.55	2.15	3.33	4.47	2.96	3.35	3.33	
현금DPS(원)	0	0		0	0			
현금배당수익률	0.00	0.00		0.00				
현금배당성향(%)		0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	15,832,549	15,832,549	16,959,266		15,832,549	16,959,266	16,959,266	
