	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액		0	0		0	0	0	
영업이익		0	0		0	0	0	
영업이익(발표기준)		0	0		0	0	0	
세전계속사업이익		0	0		0	0	0	
당기순이익		0	0		0	0	0	
당기순이익(지배)		0	0		0	0	0	
당기순이익(비지배)								
자산총계		78	79		79	79	79	
부채총계		11	11		11	11	11	
자본총계		68	68		68	68	68	
자본총계(지배)		68	68		68	68	68	
자본총계(비지배)								
자본금		4	4		4	4	4	
영업활동현금흐름		0	0		0	0	0	
투자활동현금흐름		-62	0		0	0	0	
재무활동현금흐름		79	0		0	0	0	
CAPEX								
FCF								
이자발생부채		10	11		11	11	11	
영업이익률								
순이익률								
ROE(%)			0.55				0.55	
ROA(%)			0.47				0.47	
부채비율		15.68	16.18		15.94	16.03	16.18	
자본유보율		1,721.07	1,731.07		1,723.89	1,726.65	1,731.07	
EPS(원)		-59	10		3	3	4	
PER(배)		N/A	205.97			335.80	205.97	
BPS(원)		1,821	1,831		1,824	1,827	1,831	
PBR(배)		1.11	1.13		1.17	1.19	1.13	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)		0.00			0.00	0.00		
발행주식수(보통주)		3,720,000	3,720,000		3,720,000	3,720,000	3,720,000	
