		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0		0	0	0	
영업이익			-1		0	0	0	
영업이익(발표기준)			-1		0	0	0	
세전계속사업이익			1		0	0	1	
당기순이익			1		0	0	0	
당기순이익(지배)			1		0	0	0	
당기순이익(비지배)								
자산총계			119		118	119	119	
부채총계			15		13	13	15	
자본총계			104		105	105	104	
자본총계(지배)			104		105	105	104	
자본총계(비지배)								
자본금			5		5	5	5	
영업활동현금흐름			-1		2	0	0	
투자활동현금흐름			-115		-15	0	0	
재무활동현금흐름			118		-2	0	0	
CAPEX								
FCF								
이자발생부채			14		12	13	14	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			13.98		12.48	12.61	13.98	
자본유보율			1,812.52		1,823.23	1,829.13	1,812.52	
EPS(원)			13		2	5	8	
PER(배)			159.85				N/A	
BPS(원)			1,913		1,923	1,929	1,913	
PBR(배)			1.08		1.10	1.13	1.08	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)					0.00	0.00		
발행주식수(보통주)			5,461,000		5,461,000	5,461,000	5,461,000	
