	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,586	1,429	1,332		350	343	305	
영업이익	-68	46	36		6	16	4	
영업이익(발표기준)	-68	46	36		6	16	4	
세전계속사업이익	-263	27	52		18	29	-13	
당기순이익	-291	20	48		16	27	-11	
당기순이익(지배)	-291	20	48		16	27	-11	
당기순이익(비지배)								
자산총계	1,280	1,228	980		1,340	1,278	980	
부채총계	740	668	370		744	653	370	
자본총계	540	561	610		596	625	610	
자본총계(지배)	540	561	610		596	625	610	
자본총계(비지배)								
자본금	250	250	250		250	250	250	
영업활동현금흐름	86	76	104		60	-24	80	
투자활동현금흐름	26	7	-8		-2	-9	0	
재무활동현금흐름	-130	-153	-59		-11	0	-40	
CAPEX	21	6	7		4	0	1	
FCF	64	70	97		56	-24	79	
이자발생부채	337	181	127		163	164	127	
영업이익률	-4.29	3.19	2.67		1.81	4.77	1.18	
순이익률	-18.32	1.41	3.63		4.67	7.90	-3.65	
ROE(%)	-42.13	3.66	8.26		11.74	14.20	8.26	
ROA(%)	-18.94	1.60	4.38		5.12	6.52	4.38	
부채비율	136.86	118.99	60.53		124.76	104.58	60.53	
자본유보율	125.16	132.92	150.70		145.84	156.67	150.70	
EPS(원)	-582	40	97		33	54	-22	
PER(배)	N/A	17.30	11.09		6.47	4.36	11.09	
BPS(원)	1,103	1,145	1,246		1,217	1,275	1,246	
PBR(배)	0.94	0.61	0.86		0.71	0.57	0.86	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	49,900,000	49,900,000	49,900,000		49,900,000	49,900,000	49,900,000	
