	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,120	982	690		72	63	69	
영업이익	45	56	74		24	-10	-26	
영업이익(발표기준)	45	56	74		24	-10	-26	
세전계속사업이익	51	48	27		10	-15	-57	
당기순이익	44	15	-18		-18	-15	-74	
당기순이익(지배)	14	-16	-43		-16	-10	-67	
당기순이익(비지배)	30							
자산총계	1,039	1,062	918		980	927	918	
부채총계	629	736	651		571	578	651	
자본총계	410	326	267		409	349	267	
자본총계(지배)	388	312	263		359	338	263	
자본총계(비지배)	21							
자본금	172	172	174		174	174	174	
영업활동현금흐름	98	-112	102		-25	2	15	
투자활동현금흐름	-131	85	-183		-88	-37	-23	
재무활동현금흐름	188	-206	39		108	-58	13	
CAPEX	69	6	42		45	11	-16	
FCF	29	-119	60		-71	-9	31	
이자발생부채	347	159	449		423	415	449	
영업이익률	4.06	5.66	10.67		33.39	-16.03	-38.03	
순이익률	3.95	1.57	-2.62		-25.00	-23.12	-107.33	
ROE(%)	3.63	-4.50	-15.00		-1.46	-9.58	-15.00	
ROA(%)	4.75	1.47	-1.83		2.73	-2.75	-1.83	
부채비율	153.59	225.67	243.50		139.50	165.58	243.50	
자본유보율	133.03	86.90	55.52		109.12	94.53	55.52	
EPS(원)	41	-46	-124		-45	-30	-193	
PER(배)	41.34	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,186	953	796		1,087	1,022	796	
PBR(배)	1.44	1.90	3.40		3.17	3.90	3.40	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	34,458,589	34,458,589	34,790,269		34,790,269	34,790,269	34,790,269	
