	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	918	846	656		163	181	166	
영업이익	8	-17	-18		3	1	-12	
영업이익(발표기준)	8	-17	-18		3	1	-12	
세전계속사업이익	-19	-46	1		5	1	4	
당기순이익	-16	-42	41		5	2	44	
당기순이익(지배)	-16	-42	41		5	2	44	
당기순이익(비지배)								
자산총계	753	809	1,374		734	776	1,374	
부채총계	378	468	439		345	383	439	
자본총계	375	341	935		389	393	935	
자본총계(지배)	375	341	935		389	393	935	
자본총계(비지배)								
자본금	324	324	348		348	348	348	
영업활동현금흐름	-35	20	-23		-40	4	24	
투자활동현금흐름	-44	-29	-32		-11	0	-9	
재무활동현금흐름	68	13	23		15	-6	-15	
CAPEX	38	6	31		3	3	6	
FCF	-73	14	-54		-43	1	18	
이자발생부채	234	242	233		232	253	233	
영업이익률	0.83	-2.00	-2.79		1.92	0.60	-7.53	
순이익률	-1.73	-4.94	6.18		2.96	1.03	26.32	
ROE(%)	-4.23	-11.67	6.35		-8.86	-5.04	6.82	
ROA(%)	-2.08	-5.35	3.71		-4.44	-2.34	3.99	
부채비율	100.57	137.39	46.96		88.79	97.27	46.96	
자본유보율	13.40	3.08	22.74		9.85	10.38	22.74	
EPS(원)	-25	-65	59		7	3	63	
PER(배)	N/A	N/A	17.25		N/A	N/A	16.06	
BPS(원)	580	526	1,343		559	565	1,343	
PBR(배)	2.05	2.21	0.75		2.45	1.92	0.75	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	64,764,286	64,764,286	69,588,847		69,588,847	69,588,847	69,588,847	
