	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,495	1,278	1,532		340	462	249	
영업이익	73	7	39		1	12	7	
영업이익(발표기준)	73	7	39		1	12	7	
세전계속사업이익	36	1	36		-5	21	-4	
당기순이익	-13	-10	23		-6	8	3	
당기순이익(지배)	-16	-12	22		-6	7	4	
당기순이익(비지배)	4							
자산총계	1,157	1,117	1,248		1,163	1,357	1,248	
부채총계	319	282	389		316	502	389	
자본총계	838	835	859		847	855	859	
자본총계(지배)	789	785	809		795	803	809	
자본총계(비지배)	49							
자본금	91	91	91		91	91	91	
영업활동현금흐름	-40	68	44		-72	90	44	
투자활동현금흐름	13	-137	-150		-2	-121	-94	
재무활동현금흐름	-152	-23	139		0	100	39	
CAPEX	16	1	194		1	164	26	
FCF	-56	67	-150		-72	-74	18	
이자발생부채	21	0	141		0	100	141	
영업이익률	4.88	0.52	2.57		0.17	2.71	2.67	
순이익률	-0.85	-0.78	1.51		-1.86	1.80	1.10	
ROE(%)	-2.05	-1.58	2.73		1.18	1.43	2.73	
ROA(%)	-0.97	-0.88	1.95		0.98	1.00	1.95	
부채비율	38.02	33.83	45.22		37.34	58.67	45.22	
자본유보율	848.27	844.38	870.13		855.70	863.87	870.13	
EPS(원)	-91	-69	120		-35	41	23	
PER(배)	N/A	N/A	25.58		74.58	52.27	25.58	
BPS(원)	4,445	4,423	4,555		4,481	4,524	4,555	
PBR(배)	0.68	0.85	0.67		0.85	0.73	0.67	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	18,121,667	18,121,667	18,121,667		18,121,667	18,121,667	18,121,667	
