	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액		0	0		0	0	0	
영업이익		0	0		0	0	0	
영업이익(발표기준)		0	0		0	0	0	
세전계속사업이익		0	1		0	0	0	
당기순이익		0	1		0	0	0	
당기순이익(지배)		0	1		0	0	0	
당기순이익(비지배)								
자산총계		69	70		69	69	70	
부채총계		5	5		5	5	5	
자본총계		64	64		64	64	64	
자본총계(지배)		64	64		64	64	64	
자본총계(비지배)								
자본금		3	3		3	3	3	
영업활동현금흐름		0	1		0	0	1	
투자활동현금흐름		-60	-1		0	0	-1	
재무활동현금흐름		69	0		0	0	0	
CAPEX								
FCF								
이자발생부채		5	5		5	5	5	
영업이익률								
순이익률								
ROE(%)			0.99				0.99	
ROA(%)			0.92				0.92	
부채비율		8.34	8.41		8.47	8.56	8.41	
자본유보율		1,756.76	1,775.32		1,763.46	1,767.93	1,775.32	
EPS(원)		-30	19		4	4	7	
PER(배)		N/A	110.49			195.06	110.49	
BPS(원)		1,857	1,875		1,863	1,868	1,875	
PBR(배)		1.08	1.09		1.16	1.16	1.09	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)		0.00			0.00	0.00		
발행주식수(보통주)		3,420,000	3,420,000		3,420,000	3,420,000	3,420,000	
