	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	141	306	319		100	101	56	
영업이익	20	67	53		26	9	4	
영업이익(발표기준)	20	67	53		26	9	4	
세전계속사업이익	14	65	59		28	8	8	
당기순이익	12	52	46		23	4	6	
당기순이익(지배)	12	52	46		23	4	6	
당기순이익(비지배)								
자산총계	114	597	616		588	616	606	
부채총계	51	113	93		70	93	95	
자본총계	63	484	523		518	523	512	
자본총계(지배)	63	484	523		518	523	512	
자본총계(비지배)								
자본금	2	24	24		24	24	48	
영업활동현금흐름	31	17	-50		-10	-26	0	
투자활동현금흐름	-11	-96	-204		22	1	21	
재무활동현금흐름	19	388	-51		0	-2	-1	
CAPEX	0	54	24		1	16	15	
FCF	31	-37	-74		-11	-42	-15	
이자발생부채	19	39	8		1	8	8	
영업이익률	14.07	21.95	16.70		25.80	9.21	6.91	
순이익률	8.37	17.16	14.51		23.47	4.37	10.71	
ROE(%)	20.64	19.21	9.19			9.19	8.57	
ROA(%)	10.11	14.78	7.63			7.63	7.19	
부채비율	81.04	23.35	17.73		13.60	17.73	18.51	
자본유보율	2,856.64	1,904.84	2,056.67		2,044.67	2,056.67	950.80	
EPS(원)	180	746	480		242	46	62	
PER(배)		16.91	31.90			31.90	19.74	
BPS(원)	961	5,012	5,424		5,365	5,424	5,301	
PBR(배)	0.00	2.52	2.82		2.85	2.82	1.65	
현금DPS(원)	0	100	200		0	200		
현금배당수익률		0.79	1.31		0.00	1.29		
현금배당성향(%)	0.00	18.39	41.70		0.00	438.62		
발행주식수(보통주)	6,534,000	9,650,216	9,650,216		9,650,216	9,650,216	9,650,216	
