	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,233	1,077	1,111		261	294	330	
영업이익	26	33	56		12	4	61	
영업이익(발표기준)	26	33	56		12	4	61	
세전계속사업이익	21	28	1		12	-5	64	
당기순이익	10	22	-48		8	-5	49	
당기순이익(지배)	11	22	-48		8	-5	49	
당기순이익(비지배)	-1							
자산총계	1,316	1,262	1,346		1,335	1,346	1,405	
부채총계	639	575	736		697	736	747	
자본총계	678	687	610		638	610	658	
자본총계(지배)	677	687	609		638	609	658	
자본총계(비지배)	0							
자본금	174	181	184		184	184	184	
영업활동현금흐름	8	132	36		0	37	74	
투자활동현금흐름	-55	-64	-51		17	-7	-8	
재무활동현금흐름	9	-57	53		-22	29	-31	
CAPEX	26	30	59		5	4	9	
FCF	-18	102	-23		-6	33	65	
이자발생부채	345	290	356		328	356	339	
영업이익률	2.08	3.05	5.01		4.50	1.43	18.52	
순이익률	0.84	2.03	-4.29		3.21	-1.80	14.84	
ROE(%)	1.62	3.21	-7.35		-5.81	-7.35	-2.78	
ROA(%)	0.80	1.69	-3.65		-2.96	-3.65	-1.36	
부채비율	94.23	83.75	120.81		109.12	120.81	113.58	
자본유보율	173.93	170.98	127.70		137.88	127.70	54.82	
EPS(원)	59	119	-259		45	-29	266	
PER(배)	87.20	35.83	N/A		N/A	N/A	N/A	
BPS(원)	3,867	3,921	3,479		3,644	3,479	3,755	
PBR(배)	1.34	1.09	1.33		1.16	1.33	1.57	
현금DPS(원)	9	29						
현금배당수익률	0.18	0.69						
현금배당성향(%)	15.12	23.49	0.00		0.00	0.00		
발행주식수(보통주)	18,400,520	18,400,520	18,400,520		18,400,520	18,400,520	18,400,520	
