	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,727	837	651		142	170	143	
영업이익	-396	-300	-291		-26	-19	-230	
영업이익(발표기준)	-396	-300	-291		-26	-19	-230	
세전계속사업이익	-619	-407	-459		-40	1	-395	
당기순이익	-637	-536	-459		-40	1	-395	
당기순이익(지배)	-637	-536	-459		-40	1	-395	
당기순이익(비지배)	0							
자산총계	2,490	1,520	1,071		1,416	1,420	1,071	
부채총계	1,639	667	633		634	627	633	
자본총계	851	854	438		782	793	438	
자본총계(지배)	852	855	439		783	794	439	
자본총계(비지배)	-1							
자본금	293	658	658		658	658	658	
영업활동현금흐름	-21	-64	8		50	0	5	
투자활동현금흐름	-73	54	-70		-23	-18	35	
재무활동현금흐름	124	75	-36		-43	20	1	
CAPEX	44	17	42		29	2	4	
FCF	-65	-81	-33		22	-1	1	
이자발생부채	981	515	481		464	484	481	
영업이익률	-22.91	-35.80	-44.78		-18.27	-11.42	-160.60	
순이익률	-36.90	-64.09	-70.56		-28.25	0.63	-276.27	
ROE(%)	-66.94	-62.85	-70.97		-47.82	-34.96	-70.97	
ROA(%)	-23.81	-26.75	-35.45		-22.83	-19.36	-35.45	
부채비율	192.63	78.06	144.55		81.05	79.08	144.55	
자본유보율	185.07	26.22	-42.44		16.26	17.61	-42.44	
EPS(원)	-1,801	-1,061	-698		-61	2	-601	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	2,178	1,302	668		1,192	1,209	668	
PBR(배)	1.33	0.73	1.37		0.88	0.82	1.37	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	39,198,117	65,767,892	65,767,892		65,767,892	65,767,892	65,767,892	
