	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,804	2,054	1,727		407	435	518	
영업이익	131	135	92		35	18	12	
영업이익(발표기준)	131	135	92		35	18	12	
세전계속사업이익	325	272	-128		20	10	-175	
당기순이익	186	203	-109		9	5	-136	
당기순이익(지배)	187	202	-109		9	5	-136	
당기순이익(비지배)	0							
자산총계	1,961	2,048	2,242		2,226	2,340	2,242	
부채총계	1,385	1,253	1,559		1,398	1,509	1,559	
자본총계	576	795	683		828	831	683	
자본총계(지배)	569	788	676		821	825	676	
자본총계(비지배)	7							
자본금	214	216	220		220	220	220	
영업활동현금흐름	-221	174	-6		42	23	-31	
투자활동현금흐름	361	-120	-89		16	-106	20	
재무활동현금흐름	-135	30	153		23	106	37	
CAPEX	43	32	109		9	32	65	
FCF	-264	142	-115		33	-9	-95	
이자발생부채	706	722	892		747	859	892	
영업이익률	7.29	6.58	5.33		8.49	4.12	2.31	
순이익률	10.34	9.86	-6.31		2.11	1.23	-26.28	
ROE(%)	41.19	29.84	-14.85		25.76	26.10	-14.85	
ROA(%)	9.95	10.11	-5.08		8.61	8.31	-5.08	
부채비율	240.45	157.72	228.35		168.79	181.49	228.35	
자본유보율	133.08	230.16	167.70		228.54	228.74	167.70	
EPS(원)	446	469	-247		20	12	-309	
PER(배)	5.56	4.98	N/A		5.28	5.08	N/A	
BPS(원)	1,540	2,062	1,733		2,104	2,112	1,733	
PBR(배)	1.61	1.13	1.39		1.09	1.03	1.39	
현금DPS(원)	0	80						
현금배당수익률	0.00	3.43						
현금배당성향(%)	0.00	15.10	0.00		0.00	0.00	0.00	
발행주식수(보통주)	42,710,111	43,226,540	44,048,135		44,048,135	44,048,135	44,048,135	
