	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	688	970	1,253		321	311	306	
영업이익	15	44	35		11	3	5	
영업이익(발표기준)	15	44	35		11	3	5	
세전계속사업이익	30	37	7		2	0	-4	
당기순이익	23	26	14		2	0	5	
당기순이익(지배)	24	27	14		1	0	5	
당기순이익(비지배)	0							
자산총계	541	697	1,170		1,118	1,151	1,170	
부채총계	228	362	843		786	826	843	
자본총계	313	335	328		332	325	328	
자본총계(지배)	313	332	328		329	325	328	
자본총계(비지배)	0							
자본금	35	37	37		37	37	37	
영업활동현금흐름	27	22	105		31	44	26	
투자활동현금흐름	158	-146	-206		-46	-77	-20	
재무활동현금흐름	-102	88	109		-5	36	4	
CAPEX	46	150	143		35	51	20	
FCF	-19	-128	-38		-4	-7	6	
이자발생부채	142	230	686		641	678	686	
영업이익률	2.22	4.58	2.79		3.53	1.06	1.50	
순이익률	3.37	2.69	1.08		0.67	0.01	1.71	
ROE(%)	10.73	8.37	4.24		11.44	10.17	4.24	
ROA(%)	4.72	4.21	1.46		3.99	3.49	1.46	
부채비율	72.78	108.03	257.23		236.98	254.48	257.23	
자본유보율	805.43	853.40	842.85		842.15	843.45	842.85	
EPS(원)	334	75	38		4	0	15	
PER(배)	6.40	37.03	51.84		27.04	25.92	51.84	
BPS(원)	896	922	922		913	907	922	
PBR(배)	2.39	3.01	2.12		2.86	2.49	2.12	
현금DPS(원)	0							
현금배당수익률	0.00							
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	35,201,905	37,001,905	37,001,905		37,001,905	37,001,905	37,001,905	
