	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	287	273	184		36	38	52	
영업이익	13	15	-4		-4	-6	-2	
영업이익(발표기준)	13	15	-4		-4	-6	-2	
세전계속사업이익	13	27	6		-2	-4	-1	
당기순이익	11	23	5		-1	-2	-1	
당기순이익(지배)	11	23	5		-1	-2	-1	
당기순이익(비지배)								
자산총계	475	486	483		484	483	464	
부채총계	42	32	28		27	28	33	
자본총계	433	454	455		457	455	431	
자본총계(지배)	433	454	455		457	455	431	
자본총계(비지배)								
자본금	30	30	30		30	30	30	
영업활동현금흐름	-12	14	6		3	-7	-2	
투자활동현금흐름	65	49	-132		-1	4	15	
재무활동현금흐름	-3	-3	-1			1	-16	
CAPEX	1	0	2		0		1	
FCF	-13	14	4		3	-7	-3	
이자발생부채	0	0	1		0	1	0	
영업이익률	4.64	5.41	-2.34		-9.99	-15.20	-4.27	
순이익률	3.97	8.46	2.93		-2.70	-4.51	-0.97	
ROE(%)	2.66	5.20	1.19		2.67	1.19	-0.05	
ROA(%)	2.41	4.80	1.12		2.50	1.12	-0.04	
부채비율	9.74	7.02	6.23		5.86	6.23	7.63	
자본유보율	1,280.27	1,348.46	1,367.27		1,377.04	1,367.27	1,365.58	
EPS(원)	190	384	90		-16	-29	-8	
PER(배)	45.33	16.31	63.91		28.97	63.91	N/A	
BPS(원)	8,181	8,569	8,593		8,639	8,593	8,710	
PBR(배)	1.05	0.73	0.67		0.68	0.67	0.55	
현금DPS(원)	50	50	50		0	50		
현금배당수익률	0.58	0.80	0.87					
현금배당성향(%)	23.25	11.48	48.95		0.00	-154.20		
발행주식수(보통주)	6,000,000	6,000,000	6,000,000		6,000,000	6,000,000	6,000,000	
