	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,308	1,195	1,341		321	352	355	
영업이익	131	200	207		53	46	56	
영업이익(발표기준)	131	200	207		53	46	56	
세전계속사업이익	5	77	198		48	48	53	
당기순이익	-206	25	152		31	55	36	
당기순이익(지배)	-206	25	152		31	55	36	
당기순이익(비지배)								
자산총계	1,218	1,087	1,279		1,240	1,279	1,139	
부채총계	701	657	668		605	668	650	
자본총계	517	431	611		634	611	489	
자본총계(지배)	517	431	611		634	611	489	
자본총계(비지배)								
자본금	72	72	72		72	72	72	
영업활동현금흐름	-31	205	229		33	128	26	
투자활동현금흐름	-95	-118	-91		-42	-36	-24	
재무활동현금흐름	92	-51	-46		-8	9	-3	
CAPEX	13	19	93		36	39	22	
FCF	-44	186	136		-2	88	4	
이자발생부채	450	400	369		360	369	368	
영업이익률	10.02	16.75	15.43		16.54	12.93	15.77	
순이익률	-15.73	2.05	11.36		9.75	15.55	10.23	
ROE(%)	-33.49	5.18	29.27		21.07	29.28	34.39	
ROA(%)	-16.30	2.13	12.88		9.65	12.88	14.19	
부채비율	135.53	152.41	109.45		95.40	109.45	132.91	
자본유보율	583.86	596.83	798.25		732.91	798.25	848.88	
EPS(원)	-1,434	171	1,062		218	381	253	
PER(배)	N/A	59.07	9.80		14.45	9.79	7.46	
BPS(원)	3,685	3,069	4,351		4,520	4,351	3,485	
PBR(배)	3.69	3.29	2.39		2.60	2.39	2.34	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00			0.00			
발행주식수(보통주)	14,354,920	14,354,920	14,354,920		14,354,920	14,354,920	14,354,920	
