	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	322	1,103	2,258	2,900	600	875	627	
영업이익	-4	121	122	242	24	59	27	
영업이익(발표기준)	-4	121	122		24	59	27	
세전계속사업이익	0	86	82	222	14	27	22	
당기순이익	2	85	80	210	14	26	25	
당기순이익(지배)	2	85	80	170	14	26	27	
당기순이익(비지배)								
자산총계	491	768	1,102		1,068	1,102	1,263	
부채총계	105	280	544		533	544	655	
자본총계	386	489	557		535	557	608	
자본총계(지배)	386	489	557		535	557	579	
자본총계(비지배)								
자본금	45	46	46		46	46	46	
영업활동현금흐름	30	-84	179		53	256	-167	
투자활동현금흐름	-1	50	-98		-19	-44	-27	
재무활동현금흐름	0	78	164		110	-4	-2	
CAPEX	3	5	2		0	0	4	
FCF	26	-89	177		53	255	-171	
이자발생부채	31	98	212		210	212	230	
영업이익률	-1.14	10.97	5.38	8.34	4.03	6.75	4.26	
순이익률	0.53	7.67	3.55	7.24	2.38	2.93	3.93	
ROE(%)	0.46		15.31		12.56	15.31	15.36	
ROA(%)	0.35		8.56		7.58	8.56	7.96	
부채비율	27.17	57.30	97.69		99.72	97.69	107.58	
자본유보율	792.71	990.41	1,144.51		1,089.08	1,144.51	1,188.04	
EPS(원)	21	919	864	1,580	154	277	288	
PER(배)	480.14	10.65	21.57	20.00	21.50	21.57	25.58	
BPS(원)	4,345	5,353	6,112		5,852	6,112	6,348	
PBR(배)	2.28	1.83	3.05		2.51	3.05	3.62	
현금DPS(원)	0	100	0		0	0		
현금배당수익률	0.00	1.02	0.00					
현금배당성향(%)	0.00	10.78	0.00		0.00	0.00		
발행주식수(보통주)	9,004,497	9,252,779	9,261,533		9,261,533	9,261,533	9,261,533	
