		2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액			0		0	0	0	
영업이익			-1		-1	0	0	
영업이익(발표기준)			-1		-1	0	0	
세전계속사업이익			-1		-1	0	0	
당기순이익			-1		-1	0	0	
당기순이익(지배)			-1		-1	0	0	
당기순이익(비지배)								
자산총계			79		79	79	79	
부채총계			10		10	10	10	
자본총계			69		69	69	69	
자본총계(지배)			69		69	69	69	
자본총계(비지배)								
자본금			4		4	4	4	
영업활동현금흐름			-1		-1	0	0	
투자활동현금흐름			-68		-68	0	0	
재무활동현금흐름			80		79	1	0	
CAPEX								
FCF								
이자발생부채			10		10	10	10	
영업이익률								
순이익률								
ROE(%)								
ROA(%)								
부채비율			14.27		14.14	14.24	14.27	
자본유보율			1,879.86		1,874.17	1,871.73	1,879.86	
EPS(원)			-29		-130	-2	8	
PER(배)			N/A					
BPS(원)			1,980		1,974	1,972	1,980	
PBR(배)			1.05		1.48	1.10	1.05	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)					0.00	0.00		
발행주식수(보통주)			3,505,000		3,505,000	3,505,000	3,505,000	
