	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	275	271	376		83	77	120	
영업이익	49	36	72		11	8	37	
영업이익(발표기준)	49	36	72		11	8	37	
세전계속사업이익	44	42	72		13	14	22	
당기순이익	26	25	77		9	8	41	
당기순이익(지배)	26	27	79		9	9	41	
당기순이익(비지배)								
자산총계	444	413	485		436	448	485	
부채총계	100	89	86		89	91	86	
자본총계	345	325	400		347	356	400	
자본총계(지배)	345	324	401		347	357	401	
자본총계(비지배)								
자본금	98	98	98		98	98	98	
영업활동현금흐름	66	17	79		11	12	27	
투자활동현금흐름	-30	-4	-46		23	-11	-8	
재무활동현금흐름	-28	-2	-11		-1	-1	-1	
CAPEX	10	19	8		1	3	2	
FCF	56	-1	71		11	9	25	
이자발생부채	32	29	21		22	21	21	
영업이익률	17.67	13.35	19.26		12.97	10.76	30.54	
순이익률	9.56	9.34	20.59		10.87	10.38	34.09	
ROE(%)	8.55		21.89		9.81	11.53	21.89	
ROA(%)	6.31		17.25		7.34	8.57	17.25	
부채비율	28.89	27.29	21.41		25.66	25.56	21.41	
자본유보율	221.95	247.98	327.87		275.04	284.52	327.87	
EPS(원)	137	139	406		46	47	212	
PER(배)	34.23	21.31	8.47		20.36	17.55	8.47	
BPS(원)	1,763	1,659	2,050		1,773	1,826	2,050	
PBR(배)	2.65	1.79	1.68		1.96	1.95	1.68	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	19,543,877	19,543,877	19,543,877		19,543,877	19,543,877	19,543,877	
