	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	741	789	791		201	169	216	
영업이익	50	20	42		10	0	18	
영업이익(발표기준)	50	20	42		10	0	18	
세전계속사업이익	72	12	59		10	2	29	
당기순이익	55	5	43		8	-2	24	
당기순이익(지배)	37	-9	30		4	0	19	
당기순이익(비지배)	18							
자산총계	1,475	1,500	1,631		1,534	1,591	1,631	
부채총계	342	374	468		389	447	468	
자본총계	1,133	1,126	1,163		1,144	1,144	1,163	
자본총계(지배)	892	877	905		888	890	905	
자본총계(비지배)	241							
자본금	110	110	110		110	110	110	
영업활동현금흐름	12	-24	47		-13	21	-12	
투자활동현금흐름	-100	-4	-48		2	-100	-4	
재무활동현금흐름	5	10	73		25	59	9	
CAPEX	41	18	8		2	11	-6	
FCF	-30	-43	38		-15	10	-6	
이자발생부채	158	183	270		204	268	270	
영업이익률	6.72	2.50	5.29		4.80	-0.17	8.15	
순이익률	7.44	0.58	5.50		3.96	-1.47	11.02	
ROE(%)	4.23	-1.01	3.33		-0.43	-0.76	3.33	
ROA(%)	3.82	0.31	2.78		0.81	0.35	2.78	
부채비율	30.23	33.26	40.20		34.01	39.08	40.20	
자본유보율	717.77	747.40	773.33		756.77	756.69	773.33	
EPS(원)	1,685	-405	1,348		195	0	879	
PER(배)	13.74	N/A	13.46		N/A	N/A	13.46	
BPS(원)	45,515	44,744	46,208		45,335	45,433	46,208	
PBR(배)	0.51	0.42	0.39		0.40	0.39	0.39	
현금DPS(원)	250	0	250		0	0	250	
현금배당수익률	1.08	0.00	1.38					
현금배당성향(%)	13.21	0.00	16.52		0.00	0.00	25.33	
발행주식수(보통주)	2,200,000	2,200,000	2,200,000		2,200,000	2,200,000	2,200,000	
