	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	637	542	481		145	105	101	
영업이익	108	53	-18		3	-9	-16	
영업이익(발표기준)	108	53	-18		3	-9	-16	
세전계속사업이익	87	51	-29		3	-7	-29	
당기순이익	64	40	-29		3	-6	-29	
당기순이익(지배)	64	40	-29		3	-6	-29	
당기순이익(비지배)								
자산총계	446	320	522		380	400	522	
부채총계	61	27	214		81	109	214	
자본총계	385	293	309		299	291	309	
자본총계(지배)	385	293	305		299	288	305	
자본총계(비지배)								
자본금	55	57	57		57	57	57	
영업활동현금흐름	56	15	-49		-106	34	23	
투자활동현금흐름	-3	61	-179		34	-54	-159	
재무활동현금흐름		-150	180		49	32	99	
CAPEX	0	0	0		0	0	0	
FCF	55	15	-49		-106	34	23	
이자발생부채	20	0	182		54	83	182	
영업이익률	16.88	9.87	-3.66		2.40	-8.16	-15.83	
순이익률	10.10	7.39	-6.00		1.87	-5.42	-28.25	
ROE(%)	21.71	11.80						
ROA(%)	18.69	10.45						
부채비율	15.82	9.10	69.16		26.96	37.48	69.16	
자본유보율	665.65	565.92	540.58		576.32	570.58	540.58	
EPS(원)	118	70	-51		5	-10	-51	
PER(배)	15.79	21.28	N/A					
BPS(원)	724	553	574		564	542	574	
PBR(배)	2.57	2.71	1.60		1.85	1.29	1.60	
현금DPS(원)	189							
현금배당수익률	10.16							
현금배당성향(%)	156.02	0.00			0.00	0.00		
발행주식수(보통주)	54,839,270	56,831,270	56,831,270		56,831,270	56,831,270		
