	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	820	779	677		240	165	95	
영업이익	-111	44	32		49	14	-47	
영업이익(발표기준)	-111	44	32		49	14	-47	
세전계속사업이익	-226	63	-85		34	32	-65	
당기순이익	-227	63	-87		33	31	-65	
당기순이익(지배)	-227	63	-87		33	31	-65	
당기순이익(비지배)								
자산총계	770	751	973		941	994	973	
부채총계	513	429	468		435	452	468	
자본총계	258	322	504		507	542	504	
자본총계(지배)	258	322	504		507	542	504	
자본총계(비지배)								
자본금	150	150	214		205	205	214	
영업활동현금흐름	16	192	108		71	13	6	
투자활동현금흐름	60	-154	-259		-45	-146	-13	
재무활동현금흐름	-36	-2	89		9	91	-3	
CAPEX	109	131	301		90	122	59	
FCF	-93	61	-193		-19	-109	-54	
이자발생부채	317	230	289		224	300	289	
영업이익률	-13.48	5.60	4.79		20.62	8.19	-49.18	
순이익률	-27.62	8.06	-12.81		13.68	18.91	-68.39	
ROE(%)	-91.06	21.65	-21.00		-1.70	0.12	-21.00	
ROA(%)	-23.69	8.25	-10.07		-0.82	0.06	-10.07	
부채비율	199.10	133.13	92.88		85.87	83.32	92.88	
자본유보율	82.51	124.83	137.64		150.11	165.39	137.64	
EPS(원)	-1,213	209	-232		89	76	-155	
PER(배)	N/A	6.25	N/A		N/A	1,061.78	N/A	
BPS(원)	856	1,071	1,181		1,238	1,326	1,181	
PBR(배)	1.77	1.22	1.59		1.62	1.13	1.59	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	30,071,471	30,071,471	42,713,111		40,901,793	40,901,793	42,713,111	
