	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	504	648	1,026					
영업이익	54	34	103					
영업이익(발표기준)	54	34	103					
세전계속사업이익	43	28	82					
당기순이익	32	23	61					
당기순이익(지배)	32	23	61					
당기순이익(비지배)								
자산총계	503	611	1,080		698		956	
부채총계	285	334	628		386		486	
자본총계	217	277	452		312		470	
자본총계(지배)	217	277	452		312		470	
자본총계(비지배)								
자본금	34	40	47		40		47	
영업활동현금흐름	65	23	85					
투자활동현금흐름	-18	-25	-235					
재무활동현금흐름	-28	18	236					
CAPEX	14	23	250					
FCF	51	0	-165		0		0	
이자발생부채	219	197	352		247		310	
영업이익률	10.73	5.21	10.01					
순이익률	6.42	3.61	5.94					
ROE(%)	17.80	9.46						
ROA(%)	6.19	4.20						
부채비율	131.38	120.61	138.73		123.72		103.45	
자본유보율	713.51	756.19	1,006.07		843.10		1,035.76	
EPS(원)	473	300	747					
PER(배)			11.36					
BPS(원)	3,175	3,481	4,781		3,917		4,966	
PBR(배)	0.00	0.00	1.78		0.00		1.71	
현금DPS(원)	0	0			0	0		
현금배당수익률								
현금배당성향(%)	0.00		0.00					
발행주식수(보통주)	6,840,000	7,960,000	9,461,400		7,960,000	7,960,000	9,461,400	
