	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	1,805	2,267	2,326		529	557	504	
영업이익	72	11	20		-2	1	3	
영업이익(발표기준)	72	11	20		-2	1	3	
세전계속사업이익	54	5	5		1	-20	11	
당기순이익	47	10	3		1	-16	10	
당기순이익(지배)	47	10	3		1	-16	10	
당기순이익(비지배)								
자산총계	1,798	2,084	2,019		2,088	2,019	2,096	
부채총계	1,096	1,388	1,312		1,374	1,312	1,381	
자본총계	702	696	707		714	707	715	
자본총계(지배)	702	696	707		714	707	715	
자본총계(비지배)								
자본금	236	236	236		236	236	236	
영업활동현금흐름	39	68	34		61	-12	25	
투자활동현금흐름	-430	-162	-43		-11	-19	0	
재무활동현금흐름	365	167	-37		22	-22	20	
CAPEX	375	221	51		10	19	5	
FCF	-336	-153	-17		51	-31	21	
이자발생부채	837	1,029	975		991	975	998	
영업이익률	4.00	0.47	0.87		-0.30	0.11	0.53	
순이익률	2.58	0.46	0.11		0.18	-2.94	1.90	
ROE(%)	6.76	1.47	0.38		3.19	0.38	0.84	
ROA(%)	2.94	0.53	0.13		1.07	0.13	0.28	
부채비율	156.19	199.56	185.47		192.30	185.47	193.09	
자본유보율	210.10	211.70	216.57		219.64	216.57	220.40	
EPS(원)	103	23	6		2	-36	21	
PER(배)	13.51	58.41	279.64		28.71	279.64	79.52	
BPS(원)	1,609	1,620	1,646		1,663	1,646	1,672	
PBR(배)	0.86	0.82	0.99		0.85	0.99	0.62	
현금DPS(원)	30							
현금배당수익률	2.17							
현금배당성향(%)	28.08	0.00			0.00			
발행주식수(보통주)	45,451,006	45,451,006	45,451,006		45,451,006	45,451,006	45,451,006	
