	2017/03	2018/03	2019/03	2020/03	2019/06	2019/09	2019/12	2020/03
매출액	46	37	44		2	24	39	
영업이익	6	-7	-33		-23	-5	49	
영업이익(발표기준)	6	-7	-33		-23	-5	49	
세전계속사업이익	7	-11	-33		-25	-5	49	
당기순이익	6	-11	-33		-25	-5	49	
당기순이익(지배)	6	-11	-33		-25	-5	49	
당기순이익(비지배)	0	0						
자산총계	165	170	259		337	369	663	
부채총계	9	25	58		146	183	393	
자본총계	157	145	202		191	186	270	
자본총계(지배)	157	145	202		191	186	270	
자본총계(비지배)								
자본금	200	200	264		264	264	296	
영업활동현금흐름	-103	-2	-109		-52	-27	-322	
투자활동현금흐름	-5	1	2		0	-17	14	
재무활동현금흐름	115	17	120		100	30	260	
CAPEX	5	1			0	2	0	
FCF								
이자발생부채	5	20	56		144	174	253	
영업이익률	14.09	-19.85	-76.28		-1,014.31	-20.42	124.97	
순이익률	13.01	-28.42	-74.49		-1,060.77	-22.31	124.88	
ROE(%)	5.79	-7.02	-18.80		-31.45	-25.84	11.45	
ROA(%)	5.00	-6.32	-15.18		-20.80	-15.48	5.46	
부채비율	5.57	17.10	28.73		76.60	98.58	145.72	
자본유보율	-21.63	-27.30	-23.74		-27.73	-29.76	-8.69	
EPS(원)	15	-27	-78		-46	-10	89	
PER(배)	62.19	N/A	N/A		N/A	N/A	14.08	
BPS(원)	392	364	381		361	351	457	
PBR(배)	2.40	1.89	1.86		2.27	1.56	1.28	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00			0.00	0.00	0.00	
발행주식수(보통주)	40,000,000	40,000,000	52,864,828		52,864,828	52,864,828	59,106,966	
