	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	272	241	247		66	52	65	
영업이익	-73	-23	-2		-2	1	-3	
영업이익(발표기준)	-73	-23	-2		-2	1	-3	
세전계속사업이익	-100	-26	-1		-1	2	-5	
당기순이익	-97	-27	0		0	2	-5	
당기순이익(지배)	-97	-27	0		0	2	-5	
당기순이익(비지배)								
자산총계	298	275	359		292	296	359	
부채총계	126	135	211		153	154	211	
자본총계	173	140	148		139	141	148	
자본총계(지배)	173	140	148		139	141	148	
자본총계(비지배)								
자본금	62	62	62		62	62	62	
영업활동현금흐름	-30	-5	2		4	-6	-5	
투자활동현금흐름	-3	-7	-88		-1	5	-85	
재무활동현금흐름	-13	2	76		0	-5	81	
CAPEX	11	3	13		4	1	7	
FCF	-41	-8	-10		0	-6	-12	
이자발생부채	101	106	174		109	112	174	
영업이익률	-26.68	-9.45	-0.65		-3.12	2.32	-4.74	
순이익률	-35.81	-11.27	0.03		-0.63	4.03	-7.67	
ROE(%)	-42.83	-17.39	0.05		-17.15	-9.63	0.05	
ROA(%)	-27.29	-9.47	0.02		-8.98	-4.97	0.02	
부채비율	72.82	96.87	142.57		110.51	109.17	142.57	
자본유보율	211.55	157.38	170.16		155.02	158.40	170.16	
EPS(원)	-312	-87	0		-1	7	-16	
PER(배)	N/A	N/A	8,179.24		N/A	N/A	8,178.70	
BPS(원)	573	463	492		460	469	492	
PBR(배)	4.10	2.60	3.58		5.13	3.50	3.58	
현금DPS(원)								
현금배당수익률								
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	31,179,722	31,179,722	31,179,722		31,179,722	31,179,722	31,179,722	
