	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	96	116	2,162		487	398	846	
영업이익	-52	6	-42		-58	-20	48	
영업이익(발표기준)	-52	6	-42		-58	-20	48	
세전계속사업이익	-131	-375	-165		-95	-34	-109	
당기순이익	-131	-375	-174		-96	-38	-110	
당기순이익(지배)	-131	-375	-122		-62	-32	-99	
당기순이익(비지배)								
자산총계	652	348	1,672		1,820	1,778	1,672	
부채총계	352	134	1,324		1,393	1,387	1,324	
자본총계	301	214	348		426	392	348	
자본총계(지배)	301	214	256		313	288	256	
자본총계(비지배)								
자본금	231	335	373		356	356	373	
영업활동현금흐름	-128	-115	-212		-18	-51	-92	
투자활동현금흐름	-231	-80	2		1	6	84	
재무활동현금흐름	360	203	219		101	-11	-12	
CAPEX	2	24	5		0	2	4	
FCF	-130	-139	-218		-18	-52	-96	
이자발생부채	292	106	669		726	718	669	
영업이익률	-54.34	5.59	-1.95		-11.81	-5.15	5.65	
순이익률	-135.97	-324.09	-8.03		-19.79	-9.52	-13.03	
ROE(%)	-46.86	-145.70						
ROA(%)	-25.14	-74.92						
부채비율	116.96	62.80	380.16		326.83	354.14	380.16	
자본유보율	22.06	-37.12	-31.03		-6.85	-15.81	-31.03	
EPS(원)	-294	-629	-171		-87	-45	-135	
PER(배)	N/A	N/A	N/A				N/A	
BPS(원)	585	319	343		439	404	343	
PBR(배)	3.92	2.01	5.74		2.80	2.43	5.74	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	51,388,768	66,979,149	74,630,202		71,185,050	71,185,050	74,630,202	
