	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	666	378	77		28	19	18	
영업이익	-58	-83	-127		-36	-41	-31	
영업이익(발표기준)	-58	-83	-127		-36	-41	-31	
세전계속사업이익	-75	-105	-247		-53	-60	-113	
당기순이익	-73	-105	-247		-53	-60	-113	
당기순이익(지배)	-73	-105	-247		-53	-60	-113	
당기순이익(비지배)								
자산총계	173	195	154		729	674	154	
부채총계	99	159	122		718	703	122	
자본총계	74	36	32		11	-29	32	
자본총계(지배)	74	36	32		11	-29	32	
자본총계(비지배)								
자본금	22	28	47		31	33	47	
영업활동현금흐름	-53	-92	-61		31	-27	-39	
투자활동현금흐름	-63	-5	-71		-79	18	5	
재무활동현금흐름	63	106	129		48	8	42	
CAPEX	8	9	10		2	5	2	
FCF	-61	-101	-71		29	-32	-41	
이자발생부채	74	103	64		613	554	64	
영업이익률	-8.76	-21.90	-164.58		-129.15	-213.88	-173.43	
순이익률	-10.98	-27.68	-319.59		-188.48	-312.89	-627.32	
ROE(%)	-110.56	-189.98	-724.10		-280.40	-622.24	-724.10	
ROA(%)	-48.02	-56.73	-141.53		-31.15	-43.42	-141.53	
부채비율	133.90	442.49	377.18		6,544.68	-2,448.48	377.18	
자본유보율	269.46	147.52	36.37		37.15	-90.14	36.37	
EPS(원)	-1,807	-2,044	-4,012		-955	-921	-1,581	
PER(배)	N/A	N/A	N/A		N/A	N/A	N/A	
BPS(원)	1,703	654	346		175	-438	346	
PBR(배)	3.81	10.66	15.20		41.44	N/A	15.20	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	4,348,233	5,512,821	9,337,126		6,279,693	6,560,784	9,337,126	
