	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	208	214	249		68	45	103	
영업이익	39	24	23		12	1	21	
영업이익(발표기준)	39	24	23		12	1	21	
세전계속사업이익	42	27	26		13	2	22	
당기순이익	35	26	31		14	2	25	
당기순이익(지배)	35	26	31		14	2	25	
당기순이익(비지배)								
자산총계	379	378	427		377	377	427	
부채총계	60	58	89		64	67	89	
자본총계	319	320	339		313	310	339	
자본총계(지배)	319	320	339		313	310	339	
자본총계(비지배)								
자본금	24	47	47		47	47	47	
영업활동현금흐름	23	31	18		12	-6	10	
투자활동현금흐름	-122	-9	-8		-23	12	2	
재무활동현금흐름	81	-23	-13		5	-4	0	
CAPEX	16	32	4		2	0	0	
FCF	7	-1	14		10	-6	9	
이자발생부채	0	0	3		2	2	3	
영업이익률	18.51	11.03	9.21		17.18	1.83	20.86	
순이익률	16.91	12.33	12.46		19.99	5.54	24.17	
ROE(%)	13.63	8.27	9.43		7.66	7.71	9.43	
ROA(%)	10.88	6.99	7.72		6.42	6.45	7.72	
부채비율	18.81	18.00	26.16		20.52	21.50	26.16	
자본유보율	1,293.34	650.84	706.01		654.29	658.26	706.01	
EPS(원)	414	280	329		144	26	263	
PER(배)	15.66	18.75	15.59		22.01	19.17	15.59	
BPS(원)	3,453	3,488	3,792		3,478	3,477	3,792	
PBR(배)	1.88	1.51	1.35		1.58	1.38	1.35	
현금DPS(원)	51	0						
현금배당수익률	0.79	0.00						
현금배당성향(%)	13.23	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	9,444,600	9,444,600	9,444,600		9,444,600	9,444,600	9,444,600	
