	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	542	643	555		124	97	178	
영업이익	-18	21	-13		-12	-7	14	
영업이익(발표기준)	-18	21	-13		-12	-7	14	
세전계속사업이익	-28	44	-7		-10	-2	10	
당기순이익	-20	42	-7		-7	-2	8	
당기순이익(지배)	-20	42	-7		-7	-2	8	
당기순이익(비지배)								
자산총계	953	976	982		988	995	982	
부채총계	105	92	114		125	134	114	
자본총계	849	884	868		863	862	868	
자본총계(지배)	849	884	868		863	862	868	
자본총계(비지배)								
자본금	68	68	68		68	68	68	
영업활동현금흐름	67	58	79		12	31	30	
투자활동현금흐름	-114	-52	-92		-4	5	-72	
재무활동현금흐름	12	-22	-8		-5	26	-29	
CAPEX	51	64	27		5	1	2	
FCF	16	-6	52		7	30	27	
이자발생부채	19	0	0		3	30	0	
영업이익률	-3.38	3.33	-2.28		-9.68	-7.36	7.70	
순이익률	-3.71	6.57	-1.20		-5.80	-1.75	4.43	
ROE(%)	-2.34	4.88	-0.76		0.79	0.44	-0.76	
ROA(%)	-2.10	4.38	-0.68		0.69	0.38	-0.68	
부채비율	12.33	10.44	13.17		14.48	15.54	13.17	
자본유보율	1,179.12	1,229.89	1,205.53		1,199.14	1,196.68	1,205.53	
EPS(원)	-149	313	-49		-53	-13	59	
PER(배)	N/A	11.79	N/A		71.04	139.96	N/A	
BPS(원)	6,421	6,688	6,566		6,531	6,518	6,566	
PBR(배)	0.63	0.55	0.48		0.55	0.60	0.48	
현금DPS(원)	25	60						
현금배당수익률	0.62	1.63						
현금배당성향(%)	-16.44	18.78			0.00	0.00		
발행주식수(보통주)	13,500,000	13,500,000	13,500,000		13,500,000	13,500,000	13,500,000	
