	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	859	994	998			268	259	
영업이익	23	62	44			9	13	
영업이익(발표기준)	23	62	44			9	13	
세전계속사업이익	16	53	39			8	13	
당기순이익	14	41	29			6	9	
당기순이익(지배)	14	41	29			6	9	
당기순이익(비지배)								
자산총계	496	528	585			548	585	
부채총계	300	293	218			188	218	
자본총계	196	235	367			360	367	
자본총계(지배)	196	235	367			360	367	
자본총계(비지배)								
자본금	38	38	52			52	52	
영업활동현금흐름	62	15	83				59	
투자활동현금흐름	-22	-17	-35				-14	
재무활동현금흐름	-39	4	42				21	
CAPEX	26	22	32				13	
FCF	35	-6	50			0	46	
이자발생부채	129	133	75			54	75	
영업이익률	2.65	6.25	4.38			3.40	5.04	
순이익률	1.62	4.10	2.95			2.23	3.44	
ROE(%)	7.49	18.89	9.78					
ROA(%)	2.73	7.96	5.29					
부채비율	152.53	124.70	59.46			52.29	59.46	
자본유보율	382.80	483.43	586.58			573.15	586.58	
EPS(원)	183	529	337			65	86	
PER(배)			24.34					
BPS(원)	2,551	3,055	3,535			3,468	3,535	
PBR(배)	0.00	0.00	2.32			5.49	2.32	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률			0.00					
현금배당성향(%)	0.00	0.00				0.00		
발행주식수(보통주)	7,700,000	7,700,000	10,378,000		7,700,000	10,378,000	10,378,000	
