	2017/12	2018/12	2019/12	2020/12	2019/09	2019/12	2020/03	2020/06
매출액	600	657	847		188	305	301	251
영업이익	15	-41	41		-4	38	-1	14
영업이익(발표기준)	15	-41	41		-4	38	-1	
세전계속사업이익	13	-80	45		-3	23	-12	
당기순이익	9	-73	38		-3	23	-12	
당기순이익(지배)	9	-66	35		-3	19	-11	
당기순이익(비지배)	0							
자산총계	279	351	566		469	566	575	
부채총계	204	217	386		307	386	406	
자본총계	75	134	181		163	181	170	
자본총계(지배)	64	126	173		156	173	162	
자본총계(비지배)	11							
자본금	12	27	29		29	29	29	
영업활동현금흐름	-6	-64	-16		34	-56	58	
투자활동현금흐름	-7	65	-83		-6	66	-61	
재무활동현금흐름	11	11	115		4	-27	16	
CAPEX	2	4	5		0	2	1	
FCF	-8	-68	-21		34	-59	57	
이자발생부채	36	62	135		156	135	158	
영업이익률	2.45	-6.17	4.81		-2.21	12.53	-0.23	5.58
순이익률	1.45	-11.11	4.54		-1.61	7.71	-3.84	
ROE(%)	15.07	-69.49	23.65			23.65	13.73	
ROA(%)	4.01	-23.19	8.38			8.38	5.42	
부채비율	273.03	162.05	213.30		188.38	213.30	239.19	
자본유보율	462.06	469.26	590.77		532.65	590.77	553.44	
EPS(원)	33	-242	123		-9	64	-37	
PER(배)		N/A	23.07			23.07	43.37	
BPS(원)	234	491	627		565	627	589	
PBR(배)		2.83	4.54		5.56	4.54	5.22	
현금DPS(원)	0	0						
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00		
발행주식수(보통주)	27,247,820	27,247,820	29,137,820		29,137,820	29,137,820	29,137,820	
