	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	306	441	666		157	177	191	
영업이익	26	7	19		3	7	7	
영업이익(발표기준)	26	7	19		3	7	7	
세전계속사업이익	33	4	81		12	6	50	
당기순이익	11	55	146		12	6	115	
당기순이익(지배)	11	55	148		13	7	115	
당기순이익(비지배)								
자산총계	1,116	1,477	2,281		1,875	1,962	2,281	
부채총계	353	153	538		376	435	538	
자본총계	763	1,324	1,743		1,499	1,528	1,743	
자본총계(지배)	763	1,324	1,743		1,476	1,507	1,743	
자본총계(비지배)								
자본금	1,021	249	310		280	295	310	
영업활동현금흐름	-63	95	53		5	-16	69	
투자활동현금흐름	-362	-366	4		200	9	-9	
재무활동현금흐름	546	296	324		-101	146	161	
CAPEX	108	18	72		4	14	53	
FCF	-172	77	-19		1	-31	16	
이자발생부채	296	81	482		281	371	482	
영업이익률	8.53	1.65	2.90		1.79	3.83	3.71	
순이익률	3.47	12.47	21.92		7.34	3.17	60.26	
ROE(%)	1.79	5.27	9.68		6.01	1.89	9.68	
ROA(%)	1.21	4.24	7.77		4.68	1.35	7.77	
부채비율	46.23	11.59	30.87		25.10	28.45	30.87	
자본유보율	-20.48	462.57	473.70		453.00	447.15	473.70	
EPS(원)	33	128	265		22	12	192	
PER(배)	166.61	16.78	9.99		11.23	38.06	9.99	
BPS(원)	2,340	2,663	2,813		2,642	2,556	2,813	
PBR(배)	2.38	0.81	0.94		0.69	0.76	0.94	
현금DPS(원)	0	0			0	0		
현금배당수익률	0.00	0.00						
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	32,603,068	49,717,899	61,966,225		55,871,717	58,944,857	61,966,225	
