	2017/12	2018/12	2019/12	2020/12	2019/06	2019/09	2019/12	2020/03
매출액	1,250	1,099	922		239	204	238	
영업이익	0	0	-78		-8	-16	-41	
영업이익(발표기준)	0	0	-78		-8	-16	-41	
세전계속사업이익	14	-46	-134		0	-38	-73	
당기순이익	9	-38	-113		2	-31	-60	
당기순이익(지배)	9	-38	-113		2	-31	-60	
당기순이익(비지배)	0	0						
자산총계	1,227	1,370	1,299		1,467	1,419	1,299	
부채총계	750	926	971		1,053	1,027	971	
자본총계	476	444	327		414	392	327	
자본총계(지배)	476	444	327		414	391	327	
자본총계(비지배)	1	0						
자본금	104	104	104		104	104	104	
영업활동현금흐름	34	-52	-22		-36	79	29	
투자활동현금흐름	-30	-22	-22		20	-42	41	
재무활동현금흐름	-1	173	-16		5	-27	-102	
CAPEX	15	33	54		9	30	11	
FCF	19	-85	-76		-45	49	17	
이자발생부채	658	817	805		946	936	805	
영업이익률	0.02	0.04	-8.43		-3.26	-7.96	-17.16	
순이익률	0.69	-3.48	-12.20		0.92	-15.44	-25.18	
ROE(%)	1.80	-8.23	-29.20		-6.66	-13.76	-29.20	
ROA(%)	0.70	-2.94	-8.43		-2.08	-4.21	-8.43	
부채비율	157.52	208.56	296.58		254.06	262.38	296.58	
자본유보율	186.70	153.50	41.67		132.02	101.78	41.67	
EPS(원)	41	-182	-541		10	-151	-288	
PER(배)	45.50	N/A	N/A		N/A	N/A	N/A	
BPS(원)	2,440	2,276	1,678		2,123	2,006	1,678	
PBR(배)	0.77	1.02	1.15		1.10	1.09	1.15	
현금DPS(원)	0	0	0		0	0	0	
현금배당수익률	0.00	0.00	0.00					
현금배당성향(%)	0.00	0.00	0.00		0.00	0.00	0.00	
발행주식수(보통주)	20,800,000	20,800,000	20,800,000		20,800,000	20,800,000	20,800,000	
